sessionIx,blockIx,trialIx,trialOns,waitForTrigger,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur
1,1,104,220,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,105,222,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,106,224,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,107,226,FALSE,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6
1,1,108,228,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,109,230,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,110,232,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,111,234,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,112,236,FALSE,0,0,0.2,,,,1,0.2,1.2,2,3,0.566,0.6
1,1,113,238,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,114,240,FALSE,0,0,0.2,,,,1,0.2,1.2,2,4,0.666,0.6
1,1,115,242,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,116,244,FALSE,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6
1,1,117,246,FALSE,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6
1,1,118,248,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,119,250,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,120,252,FALSE,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6
1,1,121,254,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,122,256,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,123,258,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,124,260,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,125,262,FALSE,0,0,0.2,,,,0,0.2,1.2,2,0,0.266,0.6
1,1,126,264,FALSE,0,0,0.2,,,,0,0.2,1.2,3,2,0.466,0.6
1,1,127,266,FALSE,0,0,0.2,,,,0,0.2,1.2,2,0,0.266,0.6
1,1,128,268,FALSE,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6
1,1,129,270,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,130,272,FALSE,0,0,0.2,,,,0,0.2,1.2,0,2,0.466,0.6
1,1,131,274,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,132,276,FALSE,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6
1,1,133,278,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,134,280,FALSE,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6
1,1,135,282,FALSE,0,0,0.2,,,,0,0.2,1.2,0,0,0.266,0.6
1,1,136,284,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,137,286,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,138,288,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,139,290,FALSE,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6
1,1,140,292,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,141,294,FALSE,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6
1,1,142,296,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,143,298,FALSE,0,0,0.2,,,,1,0.2,1.2,0,0,0.266,0.6
1,1,144,300,FALSE,0,0,0.2,,,,0,0.2,1.2,3,1,0.366,0.6
1,1,145,302,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,146,304,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,147,306,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,148,308,FALSE,0,0,0.2,,,,1,0.2,1.2,2,3,0.566,0.6
1,1,149,310,FALSE,0,0,0.2,,,,1,0.2,1.2,0,4,0.666,0.6
1,1,150,312,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,151,314,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,152,316,FALSE,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6
1,1,153,318,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,154,320,FALSE,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6
1,1,155,322,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,156,324,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,157,326,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,158,328,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,159,330,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,160,332,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,161,334,FALSE,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6
1,1,162,336,FALSE,0,0,0.2,,,,1,0.2,1.2,1,3,0.566,0.6
1,1,163,338,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,164,340,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,165,342,FALSE,0,0,0.2,,,,0,0.2,1.2,2,1,0.366,0.6
1,1,166,344,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,167,346,FALSE,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6
1,1,168,348,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,169,350,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,170,352,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,171,354,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,172,356,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,173,358,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,174,360,FALSE,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6
1,1,175,362,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,176,364,FALSE,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6
1,1,177,366,FALSE,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6
1,1,178,368,FALSE,0,0,0.2,,,,0,0.2,1.2,2,1,0.366,0.6
1,1,179,370,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,180,372,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,181,374,FALSE,0,0,0.2,,,,0,0.2,1.2,1,3,0.566,0.6
1,1,182,376,FALSE,0,0,0.2,,,,0,0.2,1.2,0,0,0.266,0.6
1,1,183,378,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,184,380,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,185,382,FALSE,0,0,0.2,,,,0,0.2,1.2,2,1,0.366,0.6
1,1,186,384,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,187,386,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,188,388,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,189,390,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,190,392,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,191,394,FALSE,0,0,0.2,,,,1,0.2,1.2,3,4,0.666,0.6
1,1,192,396,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,193,398,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,194,400,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,1,195,402,FALSE,0,0,0.2,,,,0,0.2,1.2,3,2,0.466,0.6
1,1,196,404,FALSE,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6
1,1,197,406,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,198,408,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,1,199,410,FALSE,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6
1,2,200,424,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,201,426,FALSE,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6
1,2,202,428,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,203,430,FALSE,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6
1,2,204,432,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,205,434,FALSE,0,0,0.2,,,,0,0.2,1.2,0,2,0.466,0.6
1,2,206,436,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,207,438,FALSE,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6
1,2,208,440,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,209,442,FALSE,0,0,0.2,,,,1,0.2,1.2,2,2,0.466,0.6
1,2,210,444,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,211,446,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,212,448,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,213,450,FALSE,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6
1,2,214,452,FALSE,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6
1,2,215,454,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,216,456,FALSE,0,0,0.2,,,,0,0.2,1.2,2,2,0.466,0.6
1,2,217,458,FALSE,0,0,0.2,,,,0,0.2,1.2,3,0,0.266,0.6
1,2,218,460,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,219,462,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,220,464,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,221,466,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,222,468,FALSE,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6
1,2,223,470,FALSE,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6
1,2,224,472,FALSE,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6
1,2,225,474,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,226,476,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,227,478,FALSE,0,0,0.2,,,,1,0.2,1.2,3,3,0.566,0.6
1,2,228,480,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,229,482,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,230,484,FALSE,0,0,0.2,,,,1,0.2,1.2,1,1,0.366,0.6
1,2,231,486,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,232,488,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,233,490,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,234,492,FALSE,0,0,0.2,,,,0,0.2,1.2,3,3,0.566,0.6
1,2,235,494,FALSE,0,0,0.2,,,,0,0.2,1.2,0,1,0.366,0.6
1,2,236,496,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,237,498,FALSE,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6
1,2,238,500,FALSE,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6
1,2,239,502,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,240,504,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,241,506,FALSE,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6
1,2,242,508,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,243,510,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
1,2,244,512,FALSE,0,0,0.2,,,,0,0.2,1.2,3,3,0.566,0.6
1,2,245,514,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,246,516,FALSE,0,0,0.2,,,,1,0.2,1.2,,,,
1,2,247,518,FALSE,0,0,0.2,,,,0,0.2,1.2,,,,
