sessionIx,blockIx,trialIx,trialOns,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,1,108,228,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,109,230,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,110,232,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,111,234,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,112,236,0,0,0.2,,,,1,0.2,1.2,2,3,0.566,0.6,0.6
1,1,113,238,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,114,240,0,0,0.2,,,,1,0.2,1.2,2,4,0.666,0.6,0.6
1,1,115,242,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,116,244,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6,0.6
1,1,117,246,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6,0.6
1,1,118,248,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,119,250,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,120,252,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6,0.6
1,1,121,254,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,122,256,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,123,258,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,124,260,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,125,262,0,0,0.2,,,,0,0.2,1.2,2,0,0.266,0.6,0.6
1,1,126,264,0,0,0.2,,,,0,0.2,1.2,3,2,0.466,0.6,0.6
1,1,127,266,0,0,0.2,,,,0,0.2,1.2,2,0,0.266,0.6,0.6
1,1,128,268,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6,0.6
1,1,129,270,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,1,130,272,0,0,0.2,,,,0,0.2,1.2,0,2,0.466,0.6,0.6
1,1,131,274,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,1,132,276,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6,0.6
